20,polar,#C1D0FC
19,boreal coniferous forest,#3965EC
18,boreal tundra woodland,#97DAFD
17,boreal mountain system,#D1EBFE
16,temperature oceanic forest,#4E8A21
15,temperature continental forest,#84E545
14,temperature mountain system,#B2FF56
13,temperature steppe,#E5FF9C
12,temperature desert,#F5FECE
11,subtropical humid forest,#3A1001
10,subtropical dry forest,#864209
9,subtropical mountain system,#D89466
8,subtropical steppe,#F7E29B
7,subtropical desert,#FBF2CD
6,tropical rainforest,#6D004D
5,tropical moist forest,#A2014C
4,tropical dry forest,#C41F35
3,tropical mountain system,#E58A52
2,tropical shrubland,#F1CAB3
1,tropical desert,#F8E5D8
